CaseNo.,OnlineSearch,OnlineTeacher,OnlinePeer,MAP1,EP1,MAP2,PAV1,MAP3,MAV1,PAP1,MAV2,EP2,PAV2,MAV3,PAV3,EP3,PAP2,EP4,PAP3,PAP,PAV,MAV,MAP
1,4,4,4,4,3,4,4,4,4,3,4,4,4,3,3,4,3,4,4,2.57510292,2.700051695,3.13494941,2.963560205
2,3,2,4,4,3,3,2,4,2,2,2,3,1,2,2,4,2,2,3,1.797669842,1.434398168,1.726965982,2.767877243
3,3,1,1,3,3,3,3,4,2,3,2,3,5,3,3,4,3,3,3,2.409988256,2.378996646,2.205009457,2.482404411
4,3,2,3,4,3,3,1,4,3,3,3,3,4,4,2,1,2,3,3,2.063118705,2.062618691,2.846615634,2.799529307
5,4,3,3,3,3,2,2,3,2,4,2,2,4,2,3,3,4,3,4,3.130594212,2.14850746,1.814523626,2.142421881
6,4,2,3,4,4,4,3,4,3,2,3,4,4,2,3,4,2,4,1,1.512343526,2.20242026,2.374373941,2.89225357
7,4,3,4,3,4,4,3,3,2,2,3,3,2,2,2,3,2,3,2,1.626042958,1.702943083,1.967611785,2.336930663
8,4,2,3,3,3,2,2,3,3,2,3,3,2,3,2,3,2,3,3,1.756899002,1.808947271,2.506699821,2.082453682
9,4,1,2,4,4,4,3,4,2,3,3,4,2,2,3,4,3,4,3,2.411978247,1.991389525,2.009005499,2.938613441
10,3,2,3,4,2,4,3,4,2,3,3,2,4,3,3,4,3,3,3,2.420707408,2.323399262,2.370622098,2.942865263
11,4,2,2,3,3,3,2,3,3,3,4,3,2,3,3,4,2,4,3,2.043545015,2.102452212,2.739419273,2.236489256
12,4,3,4,3,3,3,2,3,3,2,3,3,4,3,3,3,3,3,2,1.941967458,2.256675584,2.617546898,2.226198237
13,4,2,3,2,3,3,3,4,3,3,3,2,4,3,2,4,3,3,3,2.365837362,2.221591807,2.579330244,2.170261541
14,2,1,2,4,4,4,1,4,3,4,3,4,4,3,1,3,4,3,4,3.123215266,1.895032104,2.464588803,2.99034795
15,3,3,4,3,4,4,3,4,3,3,4,4,4,3,3,3,3,3,4,2.55845231,2.500006953,2.822239971,2.638806942
16,3,4,2,3,3,4,2,3,2,3,3,2,2,2,4,3,4,3,3,2.704479492,2.122370907,2.010879651,2.394727409
17,4,2,4,3,4,2,2,3,3,2,4,4,4,3,3,3,2,3,3,1.780418889,2.300700085,2.805267451,2.084287052
18,3,4,3,4,3,4,2,3,4,3,4,3,5,4,3,4,2,2,2,1.913795019,2.62056997,3.423373024,2.693088076
19,3,1,1,4,4,4,2,3,3,2,4,4,5,4,3,4,2,1,2,1.64795379,2.494095419,3.154246856,2.673587477
20,2,4,3,3,4,2,4,3,4,3,4,2,5,4,3,4,3,3,3,2.374900579,2.900133988,3.453240171,2.125080047
21,2,3,4,4,3,3,2,3,2,4,3,3,5,3,4,2,3,2,3,2.687073579,2.563948904,2.408018729,2.580306046
22,3,3,4,3,2,3,4,3,3,3,3,2,4,3,4,3,3,3,3,2.401593927,2.726390749,2.713348352,2.248992255
